doy,DE_2019_min,DE_2020_min,DE_2021_min,DE_2022_min,DE_2023_min,DE_2024_min,DE_2025_min,DE_2026_min,DE_2027_min,DE_2028_min,DE_2029_min,DE_2030_min,DE_2031_min,DE_2032_min,DE_2033_min,DE_2034_min,DE_2035_min,ES_2019_min,ES_2020_min,ES_2021_min,ES_2022_min,ES_2023_min,ES_2024_min,ES_2025_min,ES_2026_min,ES_2027_min,ES_2028_min,ES_2029_min,ES_2030_min,ES_2031_min,ES_2032_min,ES_2033_min,ES_2034_min,ES_2035_min,PT_2019_min,PT_2020_min,PT_2021_min,PT_2022_min,PT_2023_min,PT_2024_min,PT_2025_min,PT_2026_min,PT_2027_min,PT_2028_min,PT_2029_min,PT_2030_min,PT_2031_min,PT_2032_min,PT_2033_min,PT_2034_min,PT_2035_min,FR_2019_min,FR_2020_min,FR_2021_min,FR_2022_min,FR_2023_min,FR_2024_min,FR_2025_min,FR_2026_min,FR_2027_min,FR_2028_min,FR_2029_min,FR_2030_min,FR_2031_min,FR_2032_min,FR_2033_min,FR_2034_min,FR_2035_min,IT_2019_min,IT_2020_min,IT_2021_min,IT_2022_min,IT_2023_min,IT_2024_min,IT_2025_min,IT_2026_min,IT_2027_min,IT_2028_min,IT_2029_min,IT_2030_min,IT_2031_min,IT_2032_min,IT_2033_min,IT_2034_min,IT_2035_min,DE_2019_max,DE_2020_max,DE_2021_max,DE_2022_max,DE_2023_max,DE_2024_max,DE_2025_max,DE_2026_max,DE_2027_max,DE_2028_max,DE_2029_max,DE_2030_max,DE_2031_max,DE_2032_max,DE_2033_max,DE_2034_max,DE_2035_max,ES_2019_max,ES_2020_max,ES_2021_max,ES_2022_max,ES_2023_max,ES_2024_max,ES_2025_max,ES_2026_max,ES_2027_max,ES_2028_max,ES_2029_max,ES_2030_max,ES_2031_max,ES_2032_max,ES_2033_max,ES_2034_max,ES_2035_max,PT_2019_max,PT_2020_max,PT_2021_max,PT_2022_max,PT_2023_max,PT_2024_max,PT_2025_max,PT_2026_max,PT_2027_max,PT_2028_max,PT_2029_max,PT_2030_max,PT_2031_max,PT_2032_max,PT_2033_max,PT_2034_max,PT_2035_max,FR_2019_max,FR_2020_max,FR_2021_max,FR_2022_max,FR_2023_max,FR_2024_max,FR_2025_max,FR_2026_max,FR_2027_max,FR_2028_max,FR_2029_max,FR_2030_max,FR_2031_max,FR_2032_max,FR_2033_max,FR_2034_max,FR_2035_max,IT_2019_max,IT_2020_max,IT_2021_max,IT_2022_max,IT_2023_max,IT_2024_max,IT_2025_max,IT_2026_max,IT_2027_max,IT_2028_max,IT_2029_max,IT_2030_max,IT_2031_max,IT_2032_max,IT_2033_max,IT_2034_max,IT_2035_max,DE_2019_mean,DE_2020_mean,DE_2021_mean,DE_2022_mean,DE_2023_mean,DE_2024_mean,DE_2025_mean,DE_2026_mean,DE_2027_mean,DE_2028_mean,DE_2029_mean,DE_2030_mean,DE_2031_mean,DE_2032_mean,DE_2033_mean,DE_2034_mean,DE_2035_mean,ES_2019_mean,ES_2020_mean,ES_2021_mean,ES_2022_mean,ES_2023_mean,ES_2024_mean,ES_2025_mean,ES_2026_mean,ES_2027_mean,ES_2028_mean,ES_2029_mean,ES_2030_mean,ES_2031_mean,ES_2032_mean,ES_2033_mean,ES_2034_mean,ES_2035_mean,PT_2019_mean,PT_2020_mean,PT_2021_mean,PT_2022_mean,PT_2023_mean,PT_2024_mean,PT_2025_mean,PT_2026_mean,PT_2027_mean,PT_2028_mean,PT_2029_mean,PT_2030_mean,PT_2031_mean,PT_2032_mean,PT_2033_mean,PT_2034_mean,PT_2035_mean,FR_2019_mean,FR_2020_mean,FR_2021_mean,FR_2022_mean,FR_2023_mean,FR_2024_mean,FR_2025_mean,FR_2026_mean,FR_2027_mean,FR_2028_mean,FR_2029_mean,FR_2030_mean,FR_2031_mean,FR_2032_mean,FR_2033_mean,FR_2034_mean,FR_2035_mean,IT_2019_mean,IT_2020_mean,IT_2021_mean,IT_2022_mean,IT_2023_mean,IT_2024_mean,IT_2025_mean,IT_2026_mean,IT_2027_mean,IT_2028_mean,IT_2029_mean,IT_2030_mean,IT_2031_mean,IT_2032_mean,IT_2033_mean,IT_2034_mean,IT_2035_mean
169,30.05,25.26,64.78,76.66,24.99,39.45,-2.3,18.67,,,,,,,,,,38.13,29.73,86.0,95.17,25.1,0.0,40.01,17.68,,,,,,,,,,38.13,29.73,86.0,95.17,45.47,0.0,40.01,20.66,,,,,,,,,,15.64,25.26,65.19,190.0,25.1,6.13,-0.01,18.29,,,,,,,,,,45.02,25.26,77.26,227.8,49.14,73.11,104.41,107.61,,,,,,,,,,67.12,56.52,100.02,330.47,140.25,210.16,175.32,441.92,,,,,,,,,,53.89,37.46,100.02,189.0,137.06,91.27,194.56,138.9,,,,,,,,,,53.89,37.46,100.02,189.0,137.06,91.27,194.56,138.9,,,,,,,,,,42.05,44.71,100.02,330.47,137.06,91.27,128.32,138.9,,,,,,,,,,67.98,40.21,103.48,380.0,148.51,170.44,156.67,180.0,,,,,,,,,,42.34,36.84,80.53,192.65,90.81,96.16,79.78,140.68,,,,,,,,,,45.97,34.56,92.78,143.54,84.9,29.78,107.12,92.64,,,,,,,,,,45.97,34.56,92.78,143.54,86.78,32.63,107.12,96.58,,,,,,,,,,33.49,34.29,81.07,269.92,87.69,33.64,63.58,94.05,,,,,,,,,,54.28,31.22,89.38,293.18,102.82,116.92,122.17,139.87,,,,,,,,,
170,30.23,22.82,49.37,60.09,88.43,51.03,-65.44,11.24,,,,,,,,,,40.01,30.72,65.99,50.0,85.9,9.99,65.0,1.35,,,,,,,,,,40.01,30.72,65.99,50.0,85.9,13.46,65.0,3.58,,,,,,,,,,17.31,22.82,61.1,94.15,88.34,8.6,-0.1,6.7,,,,,,,,,,44.06,22.82,65.77,132.8,106.5,80.0,106.31,109.67,,,,,,,,,,58.64,36.99,92.75,306.93,197.77,171.87,141.8,201.36,,,,,,,,,,52.33,36.99,92.75,250.0,144.68,130.9,167.55,148.47,,,,,,,,,,52.33,36.99,92.75,250.0,144.68,130.9,167.55,148.47,,,,,,,,,,42.98,36.99,92.75,306.93,167.77,99.83,126.02,148.47,,,,,,,,,,72.34,37.53,97.93,370.0,167.77,150.55,156.77,174.63,,,,,,,,,,40.93,31.78,69.61,157.3,118.56,96.37,55.83,107.03,,,,,,,,,,47.44,35.2,85.61,123.15,108.02,61.56,115.96,85.34,,,,,,,,,,47.44,35.2,85.61,123.15,108.02,61.92,115.96,94.06,,,,,,,,,,33.31,31.75,72.68,168.08,114.77,37.72,47.21,83.84,,,,,,,,,,56.65,30.09,78.48,255.99,124.97,109.31,125.18,136.42,,,,,,,,,
171,28.54,22.2,23.72,180.44,94.62,22.41,-1.0,-0.02,,,,,,,,,,41.77,27.99,3.84,110.44,88.78,35.01,70.0,-0.02,,,,,,,,,,41.77,27.99,3.84,110.44,88.78,36.28,70.0,-0.01,,,,,,,,,,21.04,22.2,23.72,213.2,99.45,22.43,0.02,-0.02,,,,,,,,,,43.13,23.52,67.75,260.5,97.83,89.25,102.02,55.45,,,,,,,,,,51.96,37.8,88.13,500.0,165.08,143.66,201.29,182.55,,,,,,,,,,51.0,37.8,88.13,197.91,142.25,114.32,163.49,129.08,,,,,,,,,,51.0,37.8,88.13,197.91,142.25,114.32,163.49,129.08,,,,,,,,,,44.71,37.8,88.13,429.19,165.08,109.01,142.18,129.08,,,,,,,,,,68.66,38.89,106.48,394.28,165.08,149.77,150.74,162.25,,,,,,,,,,36.62,29.81,57.86,269.32,121.09,83.19,87.68,88.1,,,,,,,,,,46.31,33.51,51.85,155.78,111.81,76.71,113.13,65.84,,,,,,,,,,46.31,33.51,51.85,155.78,111.81,76.88,113.13,66.51,,,,,,,,,,34.85,29.81,57.31,307.43,119.95,57.43,73.66,72.51,,,,,,,,,,55.89,31.66,79.9,306.7,119.22,111.29,119.39,123.67,,,,,,,,,
172,31.91,15.27,58.62,210.81,92.36,53.81,-29.98,-0.01,,,,,,,,,,41.87,24.8,62.49,126.36,95.78,58.35,0.0,-0.81,,,,,,,,,,41.87,24.8,62.49,126.36,95.78,58.35,0.0,-0.81,,,,,,,,,,17.91,15.27,58.62,223.11,95.78,46.72,0.0,-0.01,,,,,,,,,,40.76,14.9,60.45,257.27,103.89,102.54,81.71,1.25,,,,,,,,,,49.91,34.94,94.07,458.04,190.71,200.09,165.3,150.26,,,,,,,,,,50.03,36.57,94.07,180.03,151.15,122.78,138.81,139.29,,,,,,,,,,50.03,36.57,94.07,180.03,151.15,122.78,138.81,139.29,,,,,,,,,,47.09,34.94,94.07,457.82,187.46,122.78,141.99,139.29,,,,,,,,,,58.58,35.79,102.56,445.45,191.36,154.6,159.24,153.04,,,,,,,,,,38.73,24.24,78.19,289.99,124.55,94.93,71.79,82.25,,,,,,,,,,47.05,31.49,84.79,147.21,118.76,90.13,76.59,56.85,,,,,,,,,,47.05,31.49,84.79,147.21,118.76,90.27,76.64,56.9,,,,,,,,,,33.23,24.24,78.19,355.94,124.46,80.81,67.93,61.62,,,,,,,,,,51.72,26.06,85.69,344.49,130.44,116.22,114.95,96.66,,,,,,,,,
173,26.76,8.26,64.84,244.46,95.2,70.25,-99.01,32.34,,,,,,,,,,42.51,21.4,82.41,132.66,93.6,40.0,-1.5,32.36,,,,,,,,,,42.51,21.4,82.41,132.66,95.0,47.55,-1.21,32.36,,,,,,,,,,12.62,8.26,63.79,251.38,95.2,40.0,-78.05,32.36,,,,,,,,,,36.06,8.0,72.49,270.56,107.02,100.1,60.0,116.64,,,,,,,,,,37.91,32.93,100.46,491.04,157.43,122.8,134.33,271.78,,,,,,,,,,49.61,32.93,96.0,195.66,147.18,115.0,130.78,177.0,,,,,,,,,,49.61,32.93,96.0,195.66,147.18,115.0,130.78,177.0,,,,,,,,,,34.8,32.93,96.0,467.5,157.43,114.32,115.32,183.5,,,,,,,,,,53.45,35.52,107.5,447.71,159.73,150.17,147.32,183.5,,,,,,,,,,31.1,19.09,84.7,323.57,123.32,95.42,38.34,125.62,,,,,,,,,,45.76,25.5,89.27,155.08,121.39,84.15,67.46,101.32,,,,,,,,,,45.76,25.5,89.27,155.08,121.61,85.01,67.57,101.32,,,,,,,,,,24.41,18.68,83.29,382.97,122.13,80.12,21.11,108.31,,,,,,,,,,43.61,20.02,91.65,367.78,128.6,116.45,108.49,142.36,,,,,,,,,
174,-5.34,20.61,70.09,210.37,79.3,-0.07,-32.75,60.34,,,,,,,,,,35.0,21.5,79.29,124.32,82.17,0.0,57.42,72.07,,,,,,,,,,38.35,21.5,79.29,124.32,88.77,0.0,57.42,72.07,,,,,,,,,,-0.92,20.61,61.36,245.82,82.17,0.0,-17.32,72.07,,,,,,,,,,31.53,21.71,85.19,275.83,101.83,33.12,110.47,117.18,,,,,,,,,,36.35,38.58,139.72,429.06,137.1,124.05,97.78,545.5,,,,,,,,,,55.0,37.63,95.0,180.0,136.9,99.1,195.77,175.09,,,,,,,,,,55.0,37.63,95.0,180.0,136.9,99.1,195.77,175.09,,,,,,,,,,34.19,38.58,95.0,430.0,137.1,101.53,106.5,268.67,,,,,,,,,,62.4,39.09,120.59,430.0,137.1,136.11,168.35,263.25,,,,,,,,,,20.83,30.07,93.47,290.5,107.58,53.03,39.15,177.26,,,,,,,,,,43.11,31.27,89.28,147.87,109.47,41.8,110.78,112.27,,,,,,,,,,43.28,31.27,89.28,147.87,110.09,44.84,110.78,112.27,,,,,,,,,,12.06,30.67,84.97,353.82,108.14,41.38,30.25,137.52,,,,,,,,,,41.12,30.59,101.77,365.3,120.46,97.97,137.14,154.38,,,,,,,,,
175,22.22,24.4,73.31,204.21,0.31,-2.21,-22.75,70.98,,,,,,,,,,46.32,29.0,68.93,111.7,10.0,-2.0,7.5,31.36,,,,,,,,,,46.32,29.0,68.93,111.7,57.64,-0.85,7.5,31.36,,,,,,,,,,16.5,24.4,68.93,237.4,0.31,-2.2,-0.03,95.72,,,,,,,,,,33.04,24.4,82.41,290.48,100.0,62.04,119.77,115.5,,,,,,,,,,56.78,48.65,129.54,345.74,150.72,115.44,123.9,665.82,,,,,,,,,,52.0,39.5,94.32,191.52,132.82,95.62,154.52,141.42,,,,,,,,,,52.0,39.5,94.32,191.52,132.82,95.62,154.52,141.42,,,,,,,,,,39.45,42.17,119.81,346.32,127.12,95.62,131.91,313.36,,,,,,,,,,58.83,43.54,127.77,346.32,139.21,133.77,162.18,284.51,,,,,,,,,,34.52,33.04,95.0,276.84,82.11,51.24,47.33,207.13,,,,,,,,,,48.76,34.72,85.94,139.79,83.33,25.15,96.82,95.17,,,,,,,,,,48.76,34.72,85.94,139.79,94.52,25.37,96.82,95.17,,,,,,,,,,29.56,32.57,89.15,297.75,76.03,30.16,56.73,157.31,,,,,,,,,,48.35,31.77,106.56,318.14,113.02,101.46,132.56,162.88,,,,,,,,,
176,22.86,26.76,75.44,164.06,-0.1,29.96,-0.51,33.96,,,,,,,,,,46.04,32.72,75.44,65.71,0.0,0.0,2.44,1.16,,,,,,,,,,46.04,32.72,75.44,65.71,75.77,35.02,2.44,1.16,,,,,,,,,,15.09,26.76,75.44,203.88,-0.1,15.95,5.79,51.79,,,,,,,,,,40.43,26.76,76.83,253.0,40.71,90.26,111.15,124.2,,,,,,,,,,74.8,47.11,109.08,327.17,163.44,209.32,247.02,285.77,,,,,,,,,,51.84,41.02,98.35,169.56,127.59,117.33,154.52,147.81,,,,,,,,,,51.84,41.02,98.35,169.56,127.59,117.33,154.52,147.81,,,,,,,,,,45.83,46.69,98.35,327.17,127.59,117.33,143.33,195.0,,,,,,,,,,62.94,47.62,121.36,393.99,140.29,135.58,181.42,209.62,,,,,,,,,,41.23,35.3,90.1,242.59,75.22,91.05,83.53,131.5,,,,,,,,,,49.74,37.63,87.13,125.16,69.42,44.44,80.57,79.11,,,,,,,,,,49.74,37.63,87.13,125.16,96.19,61.0,80.57,79.11,,,,,,,,,,34.16,34.72,86.78,260.54,61.88,54.46,80.17,113.95,,,,,,,,,,49.1,35.48,99.17,304.73,96.83,107.64,129.26,148.43,,,,,,,,,
177,26.53,25.43,64.87,79.82,50.93,-0.05,48.99,38.5,,,,,,,,,,43.01,34.76,64.87,74.25,71.61,35.0,36.2,3.93,,,,,,,,,,43.01,34.76,64.87,74.25,71.61,35.0,36.2,3.93,,,,,,,,,,14.29,25.43,60.29,176.47,48.48,-0.05,36.2,64.48,,,,,,,,,,44.42,32.03,68.86,219.98,100.68,98.52,113.87,134.09,,,,,,,,,,60.08,44.13,95.95,335.71,132.05,136.69,120.91,350.46,,,,,,,,,,51.6,42.09,93.35,153.21,129.16,117.41,159.62,148.49,,,,,,,,,,51.6,42.09,93.35,153.21,129.16,117.41,159.62,148.49,,,,,,,,,,37.14,44.13,91.66,337.63,129.53,107.43,114.53,246.72,,,,,,,,,,75.19,48.31,109.13,380.0,146.99,144.92,185.79,240.82,,,,,,,,,,37.89,34.56,78.82,202.05,96.96,76.99,88.69,134.33,,,,,,,,,,47.57,39.38,83.73,117.71,94.45,71.44,92.68,87.97,,,,,,,,,,47.57,39.38,83.73,117.71,96.65,71.44,92.68,87.97,,,,,,,,,,28.79,36.03,75.39,249.66,91.41,50.86,79.9,127.99,,,,,,,,,,59.11,38.21,90.68,285.44,116.24,114.17,126.74,154.78,,,,,,,,,
178,25.03,25.59,21.73,250.91,63.46,76.54,7.87,0.03,,,,,,,,,,45.54,32.18,12.82,115.25,83.2,60.0,35.0,-0.01,,,,,,,,,,45.54,32.18,12.82,115.25,83.2,60.0,35.0,-0.01,,,,,,,,,,14.64,25.59,12.82,258.92,83.2,77.24,19.7,0.05,,,,,,,,,,49.0,27.3,77.83,277.41,106.5,90.54,103.76,70.38,,,,,,,,,,54.11,46.8,95.0,443.5,134.79,134.39,134.94,221.25,,,,,,,,,,53.19,40.13,92.91,181.0,127.6,137.18,141.05,152.3,,,,,,,,,,53.19,40.13,92.91,181.0,127.6,137.18,141.05,152.3,,,,,,,,,,44.43,46.8,92.91,398.59,134.79,156.98,134.94,152.3,,,,,,,,,,76.86,48.55,106.46,446.0,141.65,155.15,148.56,176.3,,,,,,,,,,35.83,35.05,65.24,315.78,100.85,102.01,82.06,99.67,,,,,,,,,,49.63,37.65,63.38,143.69,99.67,96.9,93.01,69.7,,,,,,,,,,49.63,37.65,63.38,142.9,99.67,96.9,93.01,69.7,,,,,,,,,,31.26,35.52,52.18,336.5,102.9,104.96,83.23,87.67,,,,,,,,,,64.97,37.22,87.01,350.09,119.46,110.69,117.84,128.02,,,,,,,,,
179,31.63,17.52,68.92,250.41,86.29,44.56,-3.09,-0.9,,,,,,,,,,49.5,26.13,67.99,131.2,86.16,42.45,0.65,0.0,,,,,,,,,,49.5,26.13,67.99,131.2,86.16,45.66,1.88,0.0,,,,,,,,,,16.85,17.52,67.99,261.0,86.16,18.75,-0.02,0.0,,,,,,,,,,45.0,17.52,79.83,287.07,97.45,80.0,57.6,59.75,,,,,,,,,,66.53,32.96,123.96,470.9,167.62,200.04,123.86,161.04,,,,,,,,,,53.69,39.84,98.98,171.09,130.9,120.74,132.65,134.1,,,,,,,,,,53.69,39.84,98.98,171.09,130.9,120.74,132.65,134.1,,,,,,,,,,48.54,32.91,123.96,470.9,139.3,115.0,117.48,134.1,,,,,,,,,,68.0,41.45,123.96,470.9,160.62,143.93,131.93,159.01,,,,,,,,,,43.61,25.93,88.85,331.42,114.22,92.18,52.52,83.93,,,,,,,,,,51.77,30.13,87.65,146.41,105.51,89.01,68.12,66.13,,,,,,,,,,51.77,30.22,87.65,146.41,105.51,89.4,68.59,66.13,,,,,,,,,,35.62,25.88,87.96,366.67,108.05,62.56,45.82,77.69,,,,,,,,,,55.26,29.42,100.56,385.87,120.46,104.55,96.36,122.54,,,,,,,,,
180,25.06,0.08,73.45,238.0,98.08,-9.95,-24.01,82.03,,,,,,,,,,45.91,26.1,87.12,92.07,82.51,35.02,0.85,5.1,,,,,,,,,,45.91,26.1,87.12,99.05,82.51,46.87,0.85,5.1,,,,,,,,,,22.51,2.23,73.45,278.54,96.88,-2.06,-0.09,82.03,,,,,,,,,,37.01,22.15,81.0,284.74,102.9,86.46,9.84,130.44,,,,,,,,,,56.23,36.0,111.03,390.9,171.58,138.06,118.07,301.36,,,,,,,,,,51.2,39.76,103.49,172.28,129.29,113.3,154.52,144.96,,,,,,,,,,51.2,39.76,103.49,170.1,129.29,113.3,154.52,144.96,,,,,,,,,,40.35,36.0,104.04,390.9,130.31,113.3,118.07,196.9,,,,,,,,,,60.09,39.94,139.07,390.9,159.2,143.0,136.75,206.2,,,,,,,,,,32.85,17.06,91.75,316.43,117.64,64.22,54.26,143.21,,,,,,,,,,49.01,29.94,93.32,130.75,103.37,80.48,72.0,83.64,,,,,,,,,,49.01,29.94,93.32,132.66,103.37,81.91,72.0,83.64,,,,,,,,,,28.85,18.26,90.18,335.72,109.96,36.57,57.99,124.67,,,,,,,,,,47.59,28.46,112.02,336.08,121.06,109.76,80.09,157.16,,,,,,,,,
181,-39.97,17.4,74.03,258.08,88.46,-0.23,9.96,99.08,,,,,,,,,,42.84,30.91,85.92,99.36,78.6,1.5,77.75,54.88,,,,,,,,,,42.84,30.91,85.92,99.36,78.6,1.5,77.75,54.88,,,,,,,,,,-5.12,17.4,74.03,271.79,64.75,-0.19,46.31,70.08,,,,,,,,,,34.63,21.39,80.02,301.55,101.8,20.0,101.7,134.14,,,,,,,,,,43.19,40.45,108.0,479.0,138.97,139.2,288.97,504.77,,,,,,,,,,53.88,39.84,99.93,158.6,123.2,106.08,175.01,133.89,,,,,,,,,,53.88,39.84,99.93,158.6,123.2,106.08,175.01,133.89,,,,,,,,,,43.19,39.04,99.97,479.0,127.31,60.23,185.0,200.7,,,,,,,,,,66.3,42.14,121.18,479.0,160.0,145.89,184.11,204.1,,,,,,,,,,15.04,27.47,92.28,324.52,110.01,66.86,103.21,187.66,,,,,,,,,,46.7,37.08,94.15,132.88,96.01,52.33,111.21,95.36,,,,,,,,,,46.7,37.08,94.15,132.88,96.01,52.33,111.21,95.36,,,,,,,,,,18.52,29.58,90.14,363.34,97.95,24.32,100.91,123.5,,,,,,,,,,45.22,32.39,103.55,366.8,119.65,92.01,122.49,153.0,,,,,,,,,
182,24.94,-0.08,71.24,220.69,0.07,-1.51,42.47,97.28,,,,,,,,,,40.9,31.98,84.04,124.99,0.0,0.0,80.0,0.0,,,,,,,,,,40.9,31.98,84.04,124.99,67.0,0.02,80.0,0.0,,,,,,,,,,16.27,20.05,71.24,255.0,-0.01,-1.51,65.53,11.19,,,,,,,,,,46.27,32.88,82.11,328.98,69.0,9.65,105.24,130.1,,,,,,,,,,53.1,36.1,103.77,385.19,104.31,102.39,476.19,243.46,,,,,,,,,,53.19,40.44,100.0,167.29,120.2,103.22,167.0,116.87,,,,,,,,,,53.19,40.44,100.0,167.29,120.2,103.22,167.0,116.87,,,,,,,,,,41.13,40.01,98.19,401.65,92.97,103.22,235.0,139.5,,,,,,,,,,81.03,44.47,111.02,454.0,130.0,140.64,234.18,179.79,,,,,,,,,,32.99,18.58,90.17,314.64,58.12,45.75,139.01,150.95,,,,,,,,,,48.31,37.93,93.02,146.67,59.83,55.27,111.28,54.55,,,,,,,,,,48.31,37.93,93.02,146.67,88.08,57.11,111.28,54.6,,,,,,,,,,30.16,34.79,88.57,337.9,35.39,25.5,118.26,95.24,,,,,,,,,,63.29,39.09,98.82,374.2,102.93,74.1,133.99,147.86,,,,,,,,,
183,24.75,24.16,82.18,76.33,-500.0,34.61,32.59,-3.0,,,,,,,,,,40.66,27.5,82.57,109.25,0.0,10.15,70.64,-0.01,,,,,,,,,,40.66,27.5,82.57,109.25,25.0,45.0,70.64,-0.01,,,,,,,,,,24.75,25.07,82.18,210.59,-134.94,10.15,50.29,-0.01,,,,,,,,,,51.83,34.2,92.19,300.0,63.95,84.91,105.64,125.66,,,,,,,,,,50.96,43.29,122.5,362.85,94.9,166.79,240.07,130.36,,,,,,,,,,53.77,40.25,110.0,170.34,130.0,99.26,126.16,118.26,,,,,,,,,,53.77,40.25,110.0,170.34,130.0,99.26,126.16,118.26,,,,,,,,,,44.0,43.29,110.0,362.85,94.9,99.26,126.16,131.02,,,,,,,,,,75.06,53.23,123.11,393.0,145.3,154.85,200.0,174.87,,,,,,,,,,33.48,33.07,96.62,217.56,-50.13,91.15,101.5,68.09,,,,,,,,,,48.99,36.85,99.46,142.26,50.92,52.17,99.18,45.94,,,,,,,,,,48.99,36.85,99.46,142.26,88.63,59.94,99.18,45.94,,,,,,,,,,34.08,35.13,96.5,264.55,2.55,51.45,91.54,57.47,,,,,,,,,,63.86,44.42,110.99,355.51,110.36,114.26,125.21,141.93,,,,,,,,,
184,27.37,27.2,65.0,65.82,-5.68,60.93,24.72,-4.99,,,,,,,,,,42.49,27.5,73.75,91.2,88.08,4.0,37.2,-0.11,,,,,,,,,,42.49,27.5,73.75,91.2,88.08,35.0,37.2,-0.11,,,,,,,,,,18.99,27.2,69.71,122.94,10.26,4.0,34.82,-0.11,,,,,,,,,,48.45,29.48,93.5,319.59,105.5,87.85,110.11,117.28,,,,,,,,,,48.39,52.65,107.43,348.45,128.09,115.0,166.67,135.8,,,,,,,,,,53.99,41.37,106.95,193.06,139.49,110.41,142.59,125.08,,,,,,,,,,53.99,41.37,106.95,193.06,139.49,110.41,142.59,125.08,,,,,,,,,,41.93,52.24,106.95,348.45,129.15,110.41,118.8,133.01,,,,,,,,,,75.52,58.71,117.48,460.0,129.15,144.08,163.32,170.18,,,,,,,,,,34.65,39.33,83.77,203.83,56.04,84.51,88.62,62.33,,,,,,,,,,51.2,34.78,93.78,133.71,116.73,49.58,91.19,49.74,,,,,,,,,,51.2,34.7,93.78,145.32,116.73,60.65,91.19,49.75,,,,,,,,,,31.81,39.36,83.96,219.32,70.5,53.57,82.08,65.6,,,,,,,,,,61.7,44.9,105.96,369.6,115.83,103.89,122.42,139.22,,,,,,,,,
185,28.06,24.22,69.07,171.19,0.06,51.94,-1.56,-10.31,,,,,,,,,,47.0,27.62,58.45,130.0,84.74,3.6,72.0,-0.79,,,,,,,,,,47.0,27.62,58.45,130.0,84.9,34.27,72.0,-0.79,,,,,,,,,,15.76,24.39,58.45,254.35,51.75,0.0,12.2,-8.65,,,,,,,,,,45.98,29.9,79.0,322.0,111.0,89.4,115.41,0.74,,,,,,,,,,44.98,49.95,104.92,398.72,173.99,163.89,150.1,131.03,,,,,,,,,,58.0,38.95,104.92,176.0,140.7,107.51,139.26,125.89,,,,,,,,,,58.0,38.95,104.92,176.0,140.7,107.51,139.26,125.89,,,,,,,,,,43.58,49.95,104.92,461.74,140.7,95.75,111.8,125.89,,,,,,,,,,72.0,49.95,106.6,499.99,165.0,144.44,158.91,167.08,,,,,,,,,,33.98,33.93,81.96,297.3,87.52,86.9,78.9,63.14,,,,,,,,,,53.48,34.53,79.65,157.83,112.04,61.58,100.96,48.39,,,,,,,,,,53.48,34.53,79.65,157.83,112.05,71.54,100.96,48.39,,,,,,,,,,31.28,35.62,78.35,372.88,97.66,32.14,68.23,45.47,,,,,,,,,,57.8,39.19,93.1,394.02,134.84,108.5,126.58,105.18,,,,,,,,,
186,27.64,-4.71,71.54,210.95,-9.93,-19.09,-2.26,-1.16,,,,,,,,,,54.0,25.7,78.4,114.57,90.1,-0.82,3.52,-0.14,,,,,,,,,,54.0,25.7,78.4,114.57,90.1,37.87,3.52,-0.14,,,,,,,,,,27.64,11.94,71.54,300.16,36.3,-20.93,-0.11,-1.05,,,,,,,,,,45.89,20.53,75.0,353.53,102.58,88.28,105.1,0.0,,,,,,,,,,45.92,28.03,118.0,412.59,122.75,115.3,122.96,139.89,,,,,,,,,,58.08,38.41,105.69,163.58,135.14,99.88,134.0,160.32,,,,,,,,,,58.08,38.41,105.69,163.58,135.14,99.88,134.0,160.32,,,,,,,,,,43.4,29.19,111.72,450.0,123.79,52.71,100.32,128.05,,,,,,,,,,72.8,37.9,115.77,515.0,136.45,147.16,148.16,171.8,,,,,,,,,,35.81,13.82,94.18,317.6,67.34,25.4,53.25,63.77,,,,,,,,,,56.05,28.39,94.0,138.52,107.36,51.36,71.01,65.69,,,,,,,,,,56.05,28.39,94.0,138.52,107.36,72.22,71.01,65.69,,,,,,,,,,34.39,21.27,92.98,371.02,79.14,10.8,34.64,38.03,,,,,,,,,,56.99,31.46,98.5,420.95,115.54,108.13,121.8,99.51,,,,,,,,,
187,24.94,-64.99,58.51,163.21,76.42,-0.78,5.85,5.0,,,,,,,,,,44.87,21.9,78.27,115.55,85.02,1.23,0.65,17.68,,,,,,,,,,44.87,21.9,78.27,115.55,85.02,3.32,0.65,77.63,,,,,,,,,,24.45,-19.17,35.2,280.29,81.61,0.1,0.65,3.85,,,,,,,,,,43.22,15.0,95.85,375.34,97.02,82.1,70.0,122.69,,,,,,,,,,32.12,30.24,103.97,413.89,184.13,142.36,125.04,151.2,,,,,,,,,,56.78,38.0,104.73,174.5,131.83,106.33,110.62,159.76,,,,,,,,,,56.78,38.0,104.73,174.5,131.83,106.33,110.62,159.76,,,,,,,,,,35.12,30.28,103.97,438.85,131.83,106.33,71.44,153.83,,,,,,,,,,63.76,34.92,121.27,474.86,150.49,145.99,135.39,174.64,,,,,,,,,,29.02,-14.74,80.36,295.86,108.96,41.5,75.22,97.68,,,,,,,,,,51.68,25.55,93.66,146.2,111.78,61.32,55.47,101.52,,,,,,,,,,51.68,25.55,93.66,146.2,111.78,62.44,55.47,113.84,,,,,,,,,,28.8,3.6,80.63,394.63,104.81,29.54,28.4,85.39,,,,,,,,,,50.43,23.14,105.95,428.64,116.89,103.73,107.19,143.93,,,,,,,,,
