country,year,pct_of_hours,price
DE,2020,10.0,49.204
DE,2020,11.0,48.267
DE,2020,12.0,47.63
DE,2020,13.0,46.802
DE,2020,14.0,46.058
DE,2020,15.0,45.471
DE,2020,16.0,44.97
DE,2020,17.0,44.519
DE,2020,18.0,43.88
DE,2020,19.0,43.252
DE,2020,20.0,42.834
DE,2020,21.0,42.146
DE,2020,22.0,41.69
DE,2020,23.0,41.2
DE,2020,24.0,40.8
DE,2020,25.0,40.25
DE,2020,26.0,39.93
DE,2020,27.0,39.4
DE,2020,28.0,38.95
DE,2020,29.0,38.41
DE,2020,30.0,38.04
DE,2020,31.0,37.753
DE,2020,32.0,37.24
DE,2020,33.0,36.94
DE,2020,34.0,36.59
DE,2020,35.0,36.15
DE,2020,36.0,35.871
DE,2020,37.0,35.353
DE,2020,38.0,35.03
DE,2020,39.0,34.756
DE,2020,40.0,34.398
DE,2020,41.0,34.06
DE,2020,42.0,33.761
DE,2020,43.0,33.38
DE,2020,44.0,33.06
DE,2020,45.0,32.78
DE,2020,46.0,32.398
DE,2020,47.0,32.04
DE,2020,48.0,31.712
DE,2020,49.0,31.307
DE,2020,50.0,30.99
DE,2020,51.0,30.59
DE,2020,52.0,30.208
DE,2020,53.0,29.95
DE,2020,54.0,29.58
DE,2020,55.0,29.16
DE,2020,56.0,28.9
DE,2020,57.0,28.52
DE,2020,58.0,28.09
DE,2020,59.0,27.85
DE,2020,60.0,27.4
DE,2020,61.0,27.06
DE,2020,62.0,26.695
DE,2020,63.0,26.257
DE,2020,64.0,26.0
DE,2020,65.0,25.73
DE,2020,66.0,25.34
DE,2020,67.0,25.04
DE,2020,68.0,24.856
DE,2020,69.0,24.387
DE,2020,70.0,24.02
DE,2020,71.0,23.661
DE,2020,72.0,23.12
DE,2020,73.0,22.8
DE,2020,74.0,22.19
DE,2020,75.0,21.75
DE,2020,76.0,21.11
DE,2020,77.0,20.721
DE,2020,78.0,20.1
DE,2020,79.0,19.81
DE,2020,80.0,19.156
DE,2020,81.0,18.658
DE,2020,82.0,18.05
DE,2020,83.0,17.391
DE,2020,84.0,16.743
DE,2020,85.0,15.968
DE,2020,86.0,14.976
DE,2020,87.0,14.03
DE,2020,88.0,12.96
DE,2020,89.0,11.751
DE,2020,90.0,10.463
DE,2020,91.0,9.055
DE,2020,92.0,7.586
DE,2020,93.0,5.492
DE,2020,94.0,3.69
DE,2020,95.0,1.233
DE,2020,96.0,0.07
DE,2020,97.0,-0.11
DE,2020,98.0,-4.94
DE,2020,99.0,-16.955
DE,2020,100.0,-83.94
DE,2021,0.0,620.0
DE,2021,1.0,366.822
DE,2021,2.0,322.205
DE,2021,3.0,291.808
DE,2021,4.0,269.015
DE,2021,5.0,248.854
DE,2021,6.0,233.685
DE,2021,7.0,221.058
DE,2021,8.0,212.265
DE,2021,9.0,203.094
DE,2021,10.0,197.533
DE,2021,11.0,190.0
DE,2021,12.0,182.564
DE,2021,13.0,176.55
DE,2021,14.0,169.402
DE,2021,15.0,162.883
DE,2021,16.0,157.11
DE,2021,17.0,151.199
DE,2021,18.0,145.0
DE,2021,19.0,139.394
DE,2021,20.0,133.788
DE,2021,21.0,128.511
DE,2021,22.0,123.551
DE,2021,23.0,119.202
DE,2021,24.0,115.487
