country,year,hour_utc,avg_price,indexed
DE,2023,10,77.544,0.8147
DE,2023,11,70.501,0.7407
DE,2023,12,67.824,0.7126
DE,2023,13,73.829,0.7757
DE,2023,14,85.075,0.8939
DE,2023,15,101.052,1.0617
DE,2023,16,121.417,1.2757
DE,2023,17,138.245,1.4525
DE,2023,18,132.652,1.3938
DE,2023,19,118.533,1.2454
DE,2023,20,107.494,1.1294
DE,2023,21,98.413,1.034
DE,2023,22,90.514,0.951
DE,2023,23,84.048,0.8831
DE,2024,0,66.838,0.8513
DE,2024,1,65.155,0.8299
DE,2024,2,64.722,0.8244
DE,2024,3,68.348,0.8705
DE,2024,4,80.142,1.0208
DE,2024,5,91.462,1.1649
DE,2024,6,93.428,1.19
DE,2024,7,83.97,1.0695
DE,2024,8,71.25,0.9075
DE,2024,9,60.678,0.7729
DE,2024,10,53.194,0.6775
DE,2024,11,47.447,0.6043
DE,2024,12,46.955,0.5981
DE,2024,13,53.696,0.6839
DE,2024,14,67.607,0.8611
DE,2024,15,86.811,1.1057
DE,2024,16,110.443,1.4067
DE,2024,17,126.758,1.6145
DE,2024,18,124.662,1.5878
DE,2024,19,103.565,1.3191
DE,2024,20,90.158,1.1483
DE,2024,21,81.303,1.0355
DE,2024,22,75.085,0.9563
DE,2024,23,70.616,0.8994
DE,2025,0,81.934,0.9172
DE,2025,1,80.103,0.8967
DE,2025,2,80.465,0.9008
DE,2025,3,84.657,0.9477
DE,2025,4,94.94,1.0628
DE,2025,5,106.026,1.1869
DE,2025,6,107.541,1.2039
DE,2025,7,96.701,1.0825
DE,2025,8,77.801,0.871
DE,2025,9,63.113,0.7065
DE,2025,10,52.282,0.5853
DE,2025,11,45.957,0.5145
DE,2025,12,46.679,0.5226
DE,2025,13,56.304,0.6303
DE,2025,14,72.184,0.8081
DE,2025,15,95.863,1.0732
DE,2025,16,123.223,1.3794
DE,2025,17,141.024,1.5787
DE,2025,18,137.327,1.5373
DE,2025,19,120.37,1.3475
DE,2025,20,106.493,1.1921
DE,2025,21,97.097,1.087
DE,2025,22,90.107,1.0087
DE,2025,23,85.684,0.9592
DE,2026,0,102.065,1.0305
DE,2026,1,100.044,1.0101
DE,2026,2,100.162,1.0112
DE,2026,3,102.874,1.0386
DE,2026,4,111.101,1.1217
DE,2026,5,115.864,1.1698
DE,2026,6,112.356,1.1344
DE,2026,7,96.557,0.9749
DE,2026,8,77.281,0.7802
DE,2026,9,61.202,0.6179
DE,2026,10,47.652,0.4811
DE,2026,11,37.602,0.3796
DE,2026,12,38.068,0.3843
DE,2026,13,50.289,0.5077
DE,2026,14,69.862,0.7053
DE,2026,15,96.61,0.9754
DE,2026,16,126.449,1.2766
DE,2026,17,152.376,1.5384
DE,2026,18,163.175,1.6474
DE,2026,19,149.064,1.505
DE,2026,20,131.713,1.3298
DE,2026,21,118.737,1.1988
DE,2026,22,110.633,1.117
DE,2026,23,105.725,1.0674
ES,2019,0,43.203,0.9061
ES,2019,1,41.567,0.8718
ES,2019,2,40.741,0.8545
ES,2019,3,41.022,0.8604
ES,2019,4,42.645,0.8944
ES,2019,5,45.704,0.9586
ES,2019,6,49.093,1.0297
ES,2019,7,50.559,1.0604
ES,2019,8,50.852,1.0666
ES,2019,9,50.546,1.0601
ES,2019,10,50.127,1.0513
ES,2019,11,49.726,1.0429
