country,year,tech,capacity_mw
PT,2023,Other,28.0
PT,2023,Other renewable,0.0
PT,2023,Solar,1332.3
PT,2023,Waste,0.0
PT,2023,Offshore wind,25.0
PT,2023,Onshore wind,5328.4
PT,2024,Biomass,681.0
PT,2024,Lignite,0.0
PT,2024,Gas,4432.7
PT,2024,Hard coal,0.0
PT,2024,Oil & other fossil,0.0
PT,2024,Geothermal,0.0
PT,2024,Hydro pumped (production),3707.4
PT,2024,Hydro run-of-river,2855.5
PT,2024,Hydro reservoir,1629.0
PT,2024,Marine,0.0
PT,2024,Nuclear,0.0
PT,2024,Other,28.0
PT,2024,Other renewable,0.0
PT,2024,Solar,1810.8
PT,2024,Waste,0.0
PT,2024,Offshore wind,25.0
PT,2024,Onshore wind,5332.8
PT,2025,Biomass,687.1
PT,2025,Lignite,0.0
PT,2025,Gas,4418.6
PT,2025,Hard coal,0.0
PT,2025,Oil & other fossil,0.0
PT,2025,Geothermal,0.0
PT,2025,Hydro pumped (production),3707.4
PT,2025,Hydro run-of-river,2855.5
PT,2025,Hydro reservoir,1789.0
PT,2025,Marine,0.0
PT,2025,Nuclear,0.0
PT,2025,Other,28.0
PT,2025,Other renewable,0.0
PT,2025,Solar,2588.6
PT,2025,Waste,0.0
PT,2025,Offshore wind,25.0
PT,2025,Onshore wind,5366.1
FR,2019,Biomass,1931.0
FR,2019,Gas,11952.0
FR,2019,Hard coal,3966.0
FR,2019,Oil & other fossil,3271.0
FR,2019,Hydro pumped (production),5023.0
FR,2019,Hydro run-of-river,10955.0
FR,2019,Hydro reservoir,8279.0
FR,2019,Marine,240.0
FR,2019,Nuclear,63130.0
FR,2019,Other,108.0
FR,2019,Solar,8188.0
FR,2019,Onshore wind,13610.0
FR,2020,Biomass,1578.18
FR,2020,Gas,12237.6
FR,2020,Hard coal,1812.0
FR,2020,Oil & other fossil,2874.21
FR,2020,Hydro pumped (production),5064.0
FR,2020,Hydro run-of-river,11475.0
FR,2020,Hydro reservoir,8785.09
FR,2020,Marine,246.0
FR,2020,Nuclear,63130.0
FR,2020,Other,1069.85
FR,2020,Solar,9437.84
FR,2020,Waste,460.15
FR,2020,Offshore wind,14.0
FR,2020,Onshore wind,16577.88
FR,2021,Biomass,1579.18
FR,2021,Gas,12217.6
FR,2021,Hard coal,1812.0
FR,2021,Oil & other fossil,2746.21
FR,2021,Hydro pumped (production),5064.0
FR,2021,Hydro run-of-river,11500.0
FR,2021,Hydro reservoir,8785.09
FR,2021,Marine,246.0
FR,2021,Nuclear,61370.0
FR,2021,Other,1119.85
FR,2021,Solar,10212.84
FR,2021,Waste,460.15
FR,2021,Offshore wind,10.0
FR,2021,Onshore wind,17216.88
FR,2022,Biomass,1300.89
FR,2022,Gas,13074.11
FR,2022,Hard coal,1815.81
FR,2022,Oil & other fossil,2761.79
FR,2022,Geothermal,1.85
FR,2022,Hydro pumped (production),5049.96
FR,2022,Hydro run-of-river,11834.14
FR,2022,Hydro reservoir,8785.22
FR,2022,Marine,242.81
